Security Name,Ticker,CUSIP,SEDOL,Currency,Shares,Price [USD],Market Value [USD],Weight (%)
The Procter & Gamble Company,NYSE:PG,742718109,2704407,USD,750,124.9,93675,0.924
The Walt Disney Company,NYSE:DIS,254687106,2270726,USD,900,144.63,130167,1.2839
Thermo Fisher Scientific Inc.,NYSE:TMO,883556102,2886907,USD,520,324.87,168932.4,1.6663
Union Pacific Corporation,NYSE:UNP,907818108,2914734,USD,845,180.79,152767.55,1.5069
UnitedHealth Group Incorporated,NYSE:UNH,91324P102,2917766,USD,750,293.98,220485,2.1748
US Dollar,,,,USD,362262.64,1,362262.64,3.5733
Verizon Communications Inc.,NYSE:VZ,92343V104,2090571,USD,2000,61.4,122800,1.2113
Visa Inc.,NYSE:V,92826C839,B2PZN04,USD,1400,187.9,263060,2.5948
Walmart Inc.,NYSE:WMT,931142103,2936921,USD,1100,118.84,130724,1.2894
"Waste Management, Inc.",NYSE:WM,94106L109,2937667,USD,1150,113.96,131054,1.2927
"Yum! Brands, Inc.",NYSE:YUM,988498101,2098876,USD,900,100.73,90657,0.8942
"Zimmer Biomet Holdings, Inc.",NYSE:ZBH,98956P102,2783815,USD,1000,149.68,149680,1.4764
